rc_nm,E0_MHz,E1_MHz,E2_MHz,E0_abs_MHz,n_negative,delta15_MHz,delta15_abs_MHz,delta15_pct,inside_13_17_MHz_band,is_reference_point
26.3,-13.956678730223757,-8.392325279276521,-2.9406000023091114,13.956678730223757,3,-1.0433212697762428,1.0433212697762428,6.955475131841619,True,False
26.4,-13.722378215980822,-8.208638644056007,-2.808532093948997,13.722378215980822,3,-1.2776217840191784,1.2776217840191784,8.517478560127856,True,False
26.5,-13.492515355342219,-8.02855107317828,-2.679096917320749,13.492515355342219,3,-1.5074846446577812,1.5074846446577812,10.049897631051874,True,False
26.6,-13.266988527319882,-7.8519756859086565,-2.552226166209038,13.266988527319882,3,-1.7330114726801185,1.7330114726801185,11.553409817867456,True,False
26.666667,-13.118996519257966,-7.736167583062524,-2.469037133613711,13.118996519257966,3,-1.8810034807420344,1.8810034807420344,12.540023204946896,True,False
26.7,-13.045698805276514,-7.678828000581235,-2.427853588765174,13.045698805276514,3,-1.9543011947234863,1.9543011947234863,13.028674631489908,True,False
26.8,-12.828549876298895,-7.509025861479131,-2.305914921555995,12.828549876298895,3,-2.1714501237011046,2.1714501237011046,14.476334158007365,False,False
26.833333,-12.757071508786792,-7.453155286450964,-2.2657991390669845,12.757071508786792,3,-2.242928491213208,2.242928491213208,14.952856608088052,False,False
26.9,-12.615447963252338,-7.3424893680103205,-2.1863478256373123,12.615447963252338,3,-2.384552036747662,2.384552036747662,15.897013578317747,False,False
27.0,-12.406301749419981,-7.1791408063882045,-2.0690918249156316,12.406301749419981,3,-2.593698250580019,2.593698250580019,17.29132167053346,False,False
27.1,-12.201022305675908,-7.018904583535006,-1.9540882464598324,12.201022305675908,3,-2.7989776943240923,2.7989776943240923,18.659851295493947,False,False
27.2,-11.999523020019295,-6.861707163182472,-1.8412801627973747,11.999523020019295,3,-3.0004769799807054,3.0004769799807054,20.003179866538037,False,False
27.3,-11.80171952949331,-6.707477004144495,-1.7306123361349823,11.80171952949331,3,-3.19828047050669,3.19828047050669,21.321869803377933,False,False
27.4,-11.607529654268545,-6.5561445005669166,-1.622031164411055,11.607529654268545,3,-3.3924703457314553,3.3924703457314553,22.616468971543036,False,False
27.5,-11.416873333932928,-6.407641924169184,-1.5154846291052309,11.416873333932928,3,-3.5831266660670718,3.5831266660670718,23.887511107113813,False,False
27.6,-11.229672565833425,-6.261903368395908,-1.4109222447759746,11.229672565833425,3,-3.7703274341665747,3.7703274341665747,25.135516227777163,False,False
27.7,-11.045851345418667,-6.118864694367402,-1.3082950102352695,11.045851345418667,3,-3.954148654581333,3.954148654581333,26.36099103054222,False,False
27.8,-10.86533560852058,-5.978463478616503,-1.2075553613622103,10.86533560852058,3,-4.13466439147942,4.13466439147942,27.56442927652947,False,False
27.9,-10.68805317550232,-5.8406389624551585,-1.1086571253736113,10.68805317550232,3,-4.31194682449768,4.31194682449768,28.746312163317864,False,False
28.0,-10.51393369715606,-5.705332003078184,-1.0115554766807693,10.51393369715606,3,-4.486066302843939,4.486066302843939,29.907108685626262,False,False
